district,household_size,monthly_income_npr,land_owned_hectares,crop_diversity_score,livestock_count,distance_to_market_km,remittance_income,education_years_head,meals_per_day,diet_diversity_score,disaster_exposure_count,water_access,food_security_status
Rukum East,3,58449.22215,1.659614809,3,2,12,336.2080972,3,2,11,4,0,0
Saptari,9,27354.74596,0.054906838,1,6,49,10101.63381,16,2,1,2,0,2
Bajura,4,39624.19929,0.489732564,2,3,41,3802.711467,13,3,11,1,1,0
Jumla,3,46231.31987,0.175721981,6,6,44,13085.0954,9,2,7,3,0,1
Ramechhap,11,39940.13127,0.089837669,5,5,24,25482.90121,8,3,1,1,0,2
Sindhupalchok,2,23662.53973,0.148292889,3,2,43,10737.63924,15,3,8,0,1,0
Solukhumbu,10,53556.23939,0.517313203,9,4,44,15535.80232,14,3,3,1,1,1
Dolakha,11,43218.8668,0.040411567,8,1,33,16456.05998,15,2,8,0,1,1
Rukum West,9,38180.37841,0.341728493,3,4,34,25766.58407,9,3,8,3,1,2
Sankhuwasabha,4,37809.35686,0.087173531,2,1,16,17467.76298,2,2,10,2,0,1
Lalitpur,3,61916.19751,0.191030808,8,2,25,56053.50434,6,3,12,0,1,0
Lamjung,7,23319.00449,0.126991642,5,5,20,9137.916606,6,3,10,3,1,2
Sankhuwasabha,8,41644.09325,1.287223178,9,1,11,773.4795527,10,2,5,5,1,1
Humla,11,26541.92813,0.738624169,1,4,15,7513.795336,2,3,3,2,1,2
Jajarkot,2,4019.107099,1.217078338,10,1,19,27477.29281,11,2,11,1,1,1
Ramechhap,7,3596.247602,0.290182004,3,3,9,2141.915052,16,2,11,1,0,2
Gorkha,5,18765.818,0.225613718,5,2,22,19973.67556,8,2,12,0,1,1
Surkhet,11,24464.90934,0.287390003,2,4,46,11507.12066,4,2,11,4,1,2
Dolakha,5,69767.19599,0.011233422,3,3,29,34639.02521,8,3,9,5,1,0
Arghakhanchi,3,46174.21495,0.773945638,4,5,7,19706.23843,12,2,1,4,0,1
Dailekh,5,47613.48833,0.258259747,4,6,4,16205.28529,2,3,1,5,1,0
Baglung,2,24806.7439,0.225535457,9,4,11,32689.31657,3,3,2,2,1,0
Jajarkot,4,35981.23471,0.546992496,1,5,41,35825.40117,14,3,10,1,1,0
Saptari,6,71898.44776,0.343886539,9,7,13,7289.963706,5,2,6,3,0,1
Kalikot,1,15569.31722,2.37306379,9,2,11,39434.56105,8,3,2,5,0,1
Kalikot,10,42299.82076,0.264269732,6,4,23,843.7624169,10,3,4,2,0,1
Rupandehi,4,60780.73227,0.570988864,1,6,44,21568.0235,12,3,6,0,1,0
Kalikot,6,50455.08937,0.224075669,6,3,16,6154.095915,3,2,2,5,1,1
Rolpa,9,63824.63382,2.799907027,8,7,0,10023.8026,14,3,4,0,0,0
Dang,11,38405.8441,0.353392349,5,6,41,27095.47391,16,3,7,2,0,1
Humla,11,44655.2484,0.60328437,5,3,36,15201.88692,11,3,1,3,0,2
Solukhumbu,2,36756.39019,0.081300573,1,1,10,9173.259736,5,3,9,1,1,1
Rolpa,11,43533.52895,0.79235839,1,2,41,2685.702239,6,1,10,1,1,2
Dhankuta,7,20356.6974,0.18817753,8,4,5,42018.47661,16,2,10,3,1,1
Ramechhap,6,47677.57454,0.357191289,5,4,14,6062.732194,10,3,7,1,1,0
Bajhang,2,39707.973,1.288031566,8,5,40,1599.778965,11,2,9,5,1,0
Tanahun,8,36002.54986,2.115088061,10,4,39,12456.74503,12,2,7,4,1,0
Mahottari,7,62942.26621,0.331584807,2,4,22,7820.206493,0,2,11,4,0,2
Okhaldhunga,11,30753.83361,1.080368741,4,2,22,13392.68445,10,3,1,3,1,1
Jajarkot,5,54325.15255,0.032894868,10,6,37,3989.395069,9,3,7,4,0,1
Udayapur,5,55916.45755,1.128645745,9,1,37,7139.815233,5,2,11,5,0,1
Panchthar,7,48688.71015,0.595757817,3,1,48,53908.10729,1,2,9,2,1,1
Rukum West,9,19558.40527,0.402486505,6,7,11,41359.28635,4,2,8,1,1,2
Sankhuwasabha,11,40745.25276,1.324167009,7,3,6,29968.6692,9,3,12,5,0,1
Jajarkot,9,66335.58882,1.119904897,3,3,36,22652.09424,14,3,4,2,0,0
Achham,9,5903.143445,0.211392174,1,1,15,2553.993672,13,1,5,3,1,2
Palpa,6,31997.46409,0.940656311,2,2,37,9436.554571,5,3,3,5,0,2
Terhathum,10,53596.93631,0.062877028,10,1,39,19523.93808,13,2,10,5,1,2
Rupandehi,6,33154.8704,1.038163642,7,1,34,4552.448288,13,3,10,4,1,0
Mustang,3,47958.20507,0.675199789,7,2,39,504.5029836,11,3,12,2,1,0
Myagdi,1,57547.05646,0.05518124,1,3,28,8121.821637,3,3,2,2,1,1
Pyuthan,7,38712.10053,0.68946387,10,2,38,8304.467628,11,2,3,0,0,2
Okhaldhunga,4,43143.84833,0.521242623,7,7,16,1009.739739,16,3,7,2,0,0
Sankhuwasabha,1,36469.93494,0.54165478,10,4,25,5798.522314,15,2,8,4,1,1
Bhojpur,8,39764.89411,0.206224716,6,4,19,37388.046,5,3,2,1,1,1
Salyan,6,68641.63896,0.185954318,6,3,45,4321.168402,8,2,9,1,1,1
Okhaldhunga,6,33976.82412,0.862641304,7,4,24,12630.27095,11,3,4,1,0,0
Salyan,2,29349.53539,0.178084938,7,4,37,10038.0026,10,3,2,4,1,1
Mugu,1,51668.06766,0.35463845,1,7,38,29721.202,15,3,7,1,0,0
Mahottari,2,21513.24268,0.71205116,10,4,36,15900.26212,1,3,11,5,1,0
Palpa,4,25164.45668,0.049778747,5,4,18,2587.282256,5,3,2,5,1,2
Manang,2,25266.4753,0.541652237,8,1,20,2312.462919,4,2,7,1,1,1
Doti,1,30906.00764,0.53404694,8,1,31,12229.28926,8,3,8,3,1,0
Kalikot,7,31604.80856,0.691642258,3,1,27,713.7086473,12,3,9,3,1,1
Udayapur,11,46185.59343,0.277152799,3,5,38,7501.523637,6,3,12,0,1,1
Kapilvastu,11,29522.21384,0.357590258,7,6,40,7637.681687,0,3,12,5,1,2
Saptari,8,46831.41551,0.240259061,4,3,11,3278.556383,9,3,11,0,1,1
Bajura,6,48826.89128,0.990681947,6,6,46,5371.830056,11,3,1,2,1,0
Kalikot,4,24543.82081,0.083978602,9,7,14,6006.004769,2,3,2,2,1,1
Syangja,6,48483.2963,1.977356185,10,2,27,177.4241736,4,2,2,5,1,1
Rukum West,3,49934.69573,0.604445483,2,3,20,24590.06252,13,3,7,5,0,0
Sindhupalchok,8,6825.017014,1.307725412,2,3,15,47354.80917,14,2,6,2,1,1
Nuwakot,10,39695.69525,0.333317521,6,2,22,5121.866665,11,3,11,0,1,1
Jajarkot,2,26897.47027,0.242330978,3,2,25,1781.509083,3,2,9,1,0,1
Parbat,5,55849.03969,1.385921797,1,1,14,46041.37432,15,2,3,2,1,0
Bhaktapur,1,26734.30104,0.062465465,2,2,36,20237.92814,10,2,8,1,1,1
Saptari,6,13568.26952,0.074730915,7,4,11,33265.72399,3,2,5,1,1,1
Nawalparasi East (Nawalpur),2,34522.93093,0.213445322,4,1,3,6714.855406,5,2,5,0,1,0
Dolpa,4,20648.44313,1.92795968,2,5,34,9926.538154,15,3,10,3,1,1
Achham,6,48593.36423,0.601548238,8,3,30,39940.35429,1,2,11,5,1,1
Panchthar,10,22062.20002,0.484722431,4,3,26,9230.365216,12,2,12,3,1,2
Taplejung,11,34719.89681,0.733193144,4,3,31,16725.48365,7,1,5,4,0,2
Terhathum,8,59732.96683,0.324229448,2,4,32,18301.47155,11,2,8,3,1,1
Mugu,8,52576.45796,0.851472794,1,0,12,27220.55614,5,3,7,2,1,1
Jhapa,11,42645.42725,0.299763974,1,4,36,55440.97278,2,3,11,0,1,1
Terhathum,6,32958.7566,1.050473658,3,6,43,6117.253065,14,3,12,1,1,0
Mustang,4,41126.3433,0.186607335,6,4,1,4264.33452,7,2,7,0,1,1
Mustang,8,46023.74324,0.195061465,7,1,37,1213.367687,1,2,4,5,1,2
Gorkha,8,19214.36219,0.443368057,9,3,36,29125.22649,15,2,6,4,0,2
Khotang,10,48621.3959,0.338073106,5,0,49,5194.078765,12,3,1,4,0,2
Parbat,1,17372.89516,0.626671956,9,5,4,763.2869037,0,3,6,4,1,1
Kathmandu,4,44159.23096,0.271808389,8,3,17,30067.29019,10,3,5,1,0,0
Dhankuta,4,17289.75353,0.157248089,1,2,47,10697.47596,0,2,1,4,1,2
Bajhang,7,66404.73989,0.380710281,3,4,16,27331.41265,7,2,11,5,1,1
Bajura,11,47213.466,0.493894068,8,4,1,12127.76308,1,2,1,4,1,2
Morang,7,10103.59554,0.092310473,9,6,48,5647.256649,12,3,3,4,1,2
Manang,11,34985.17398,0.488130333,4,3,41,2085.165823,1,2,4,5,1,2
Gorkha,8,26657.24729,0.230741998,6,2,34,8621.438562,3,3,1,5,1,2
Kapilvastu,11,24764.36912,0.298994343,4,0,13,403.6174956,1,3,12,1,1,1
Kavrepalanchok,5,37353.65642,0.196534483,9,3,11,13836.87479,12,3,10,4,0,0
Kalikot,7,20152.10001,1.607767984,2,3,32,8370.452399,3,1,7,2,1,2
Kaski,8,47183.45224,0.689948935,6,4,6,2288.941929,14,1,2,0,1,2
Palpa,9,46274.46539,0.182661226,3,3,38,11332.82438,11,3,11,4,0,1
Mustang,3,40622.7964,0.621435456,10,4,44,24210.02695,11,3,4,4,1,0
Dolpa,3,34687.92754,1.132588632,4,1,8,55213.83961,4,3,12,0,1,0
Rupandehi,4,45557.09258,0.308127801,2,0,4,11241.27153,9,2,9,4,1,0
Solukhumbu,5,47662.1681,1.063024156,8,3,3,2081.190956,1,3,8,5,1,0
Taplejung,10,42278.68379,0.100635911,10,2,31,24966.82347,7,3,2,4,1,2
Khotang,1,14010.01563,1.038222649,8,3,4,17850.48582,4,3,11,2,1,0
Udayapur,7,22385.82218,0.466301191,1,2,43,46177.33537,7,2,11,5,0,2
Dhading,9,30711.02526,0.151369257,10,3,7,11492.64057,12,2,9,3,1,1
Panchthar,8,11387.34563,0.313679599,6,3,12,6626.582664,12,2,1,1,1,1
Saptari,5,38584.05013,2.653358902,1,0,3,49387.8841,14,3,6,1,0,0
Baglung,4,57576.08332,0.918254101,6,1,10,11597.29723,14,2,3,0,1,0
Rolpa,7,55027.04587,0.5135216,7,2,14,240.5029367,10,2,1,2,1,1
Mugu,5,46834.0183,0.073411717,2,4,45,9627.37516,9,2,8,1,0,1
Rukum East,7,46643.39094,0.324576686,9,3,17,35.71294408,5,3,6,0,1,1
Okhaldhunga,1,70444.7285,0.183142372,8,0,19,20074.4427,4,3,4,0,1,0
Kavrepalanchok,1,48501.82131,0.044188621,9,5,0,12518.7643,4,3,3,0,1,0
Saptari,10,49810.17099,0.468799475,10,3,0,1744.655573,7,3,10,1,1,1
Gulmi,3,11977.36489,1.31993967,4,2,10,25150.60696,0,3,2,3,1,1
Bhaktapur,11,56325.10071,0.67546653,4,2,28,11532.20239,1,1,5,0,1,2
Myagdi,2,41375.9576,0.172353608,8,2,28,1816.597156,16,3,8,4,1,1
Sunsari,2,33723.45047,0.511404784,1,1,23,2615.495009,6,2,12,3,0,2
Chitwan,7,29757.79001,1.721293629,8,0,19,25898.33005,8,3,8,3,0,0
Achham,10,26222.47301,0.770058691,7,5,29,6588.901394,3,2,3,4,1,2
Dailekh,2,55108.43005,0.701692393,7,5,37,25813.59531,6,1,9,1,1,0
Kathmandu,11,34546.25713,2.068184596,9,0,4,1080.552175,9,2,10,1,1,1
Kailali,4,26813.14306,0.962292166,10,1,44,4192.91242,15,2,5,2,1,0
Baglung,2,22655.25112,0.088142678,7,2,9,21695.92728,9,3,7,1,1,0
Nawalparasi East (Nawalpur),6,37729.58071,0.256290715,2,2,5,15395.85861,6,2,11,2,1,0
Kalikot,8,29246.24473,2.013861204,1,4,3,5497.081388,1,2,9,0,1,1
Bardiya,10,25595.91116,0.403660237,1,2,3,41239.28036,1,3,7,1,0,1
Bhojpur,4,12885.50449,0.071025202,7,5,6,3556.093654,7,3,10,1,1,1
Kathmandu,5,50349.71775,0.368163549,5,3,47,28434.7729,13,3,3,4,1,0
Kathmandu,4,32791.62759,0.716400086,4,2,32,17848.28107,0,3,2,0,0,1
Palpa,3,17636.18149,3.606565004,5,4,8,1936.553727,16,3,12,5,1,1
Lalitpur,5,30660.22174,0.234853289,10,4,25,12149.11302,16,3,7,5,0,0
Kalikot,9,43786.1129,0.433035256,10,2,46,39869.10949,4,3,10,2,1,1
Kalikot,8,35461.45395,1.270563765,6,0,40,14470.24655,15,2,8,0,1,0
Taplejung,8,38055.89996,0.263351604,10,5,20,11287.32522,6,2,12,5,0,1
Dhading,8,35680.77213,0.069422669,6,2,21,6843.243285,14,2,12,3,1,2
Kalikot,8,14570.30758,1.78480385,1,3,32,23323.40365,1,3,4,4,1,1
Solukhumbu,7,50176.13669,0.402175185,2,0,32,36637.92017,15,3,1,3,1,1
Darchula,8,7668.061434,0.419238095,3,5,47,20994.75463,8,3,6,5,0,2
Bajura,11,42384.58519,0.58244838,4,3,4,19378.37032,9,1,9,2,1,1
Dhading,8,44849.13474,0.002125735,6,3,20,3207.004457,3,2,4,1,1,1
Panchthar,8,31482.50074,1.605331007,9,1,26,26935.27825,1,3,3,1,1,0
Kalikot,10,40654.76038,0.269134198,2,6,40,623.2065962,13,3,6,1,1,1
Kaski,7,30565.83249,0.303435055,8,2,0,21242.73751,0,3,6,2,1,0
Rolpa,1,40847.92325,0.114775665,9,4,15,3552.363748,7,2,4,3,1,1
Palpa,4,50886.7607,0.28503538,2,3,34,10019.83293,10,3,7,2,0,0
Sindhupalchok,4,22325.97718,0.977611532,9,1,35,17823.16254,0,3,11,2,1,0
Dailekh,5,45783.43774,0.965637766,7,3,43,21349.25646,4,3,2,3,0,1
Chitwan,10,62078.36804,1.647421717,9,3,31,32850.09245,12,1,1,5,1,2
Rukum East,6,39233.0442,0.309733569,6,1,28,4981.661455,16,3,11,1,1,0
Kalikot,4,26950.33241,0.740085263,2,5,38,3810.232924,9,2,6,4,1,1
Surkhet,2,71211.72543,0.424636846,8,2,46,83774.82875,6,3,3,2,1,1
Rukum East,6,36419.29982,0.97785414,10,8,22,3489.542625,12,3,3,2,0,1
Morang,8,38704.47846,0.748007129,9,5,14,16425.91264,3,2,1,3,1,2
Tanahun,8,39037.98735,0.275227378,8,3,25,45782.85421,12,3,2,5,1,1
Sankhuwasabha,7,42165.81324,0.246293073,2,2,36,34030.87124,0,3,3,4,1,1
Solukhumbu,6,29578.00087,0.174566402,8,0,24,8784.946629,10,3,1,2,1,1
Banke,2,38039.85377,0.515543431,3,2,1,15224.34195,8,1,8,0,1,0
Dailekh,7,50234.93989,1.991928364,3,6,11,11296.52443,12,2,6,4,1,0
Sankhuwasabha,11,29025.58366,0.133936186,9,4,18,6384.762764,10,3,9,2,0,2
Sankhuwasabha,5,28280.09637,0.060059598,9,3,31,2339.671998,7,3,1,4,0,2
Salyan,6,30326.64839,0.076291509,9,4,22,24398.32089,6,3,11,5,1,1
Taplejung,10,17435.63491,0.916987655,4,2,4,1421.942526,14,3,12,0,1,1
Sarlahi,8,24074.56861,0.2585665,7,2,24,14109.80345,14,2,4,0,0,1
Sankhuwasabha,8,23422.72122,0.152445352,8,2,34,13534.67737,11,2,4,4,0,2
Rukum West,3,34991.63962,0.26110085,5,3,28,6115.56181,16,3,5,1,1,0
Palpa,7,48378.33049,0.621941875,1,3,37,2182.473067,5,3,11,4,1,1
Chitwan,1,58259.42555,0.474836004,9,5,44,24114.3779,12,2,2,3,1,1
Darchula,1,35915.01788,0.816585143,6,5,19,9296.343461,15,3,1,1,1,0
Chitwan,7,42303.51602,0.248468173,3,2,46,19379.6551,0,3,12,5,1,0
Dadeldhura,10,38894.30089,0.360919281,3,0,35,249.3480767,12,2,9,0,1,1
Dang,9,3000,0.064529992,10,1,6,1161.368489,6,2,5,1,1,2
Banke,7,16633.74541,0.045518988,1,3,21,2900.998759,12,2,8,0,1,2
Dhanusa,10,47180.22866,0.372222756,8,2,17,1812.833933,6,1,12,0,1,2
Lamjung,5,48735.76275,0.21537505,2,5,20,3192.455686,7,3,3,0,1,1
Sindhupalchok,8,48369.7284,0.569289241,1,2,21,17398.7679,16,2,4,3,1,1
Baitadi,2,32155.00825,0.02637249,7,2,38,722.059552,15,2,4,3,1,1
Darchula,9,3082.64863,0.077905582,9,5,11,579.0171258,16,3,6,2,1,2
Jhapa,6,18543.60023,1.20233695,6,7,10,482.4578702,7,3,4,5,1,1
Siraha,9,20991.87447,0.501257415,8,4,11,17942.50645,6,3,5,3,1,1
Bajhang,2,45060.29727,0.746990502,8,5,25,11522.44104,3,2,12,5,1,0
Dailekh,3,29282.06246,1.106990279,9,3,29,6936.304711,1,3,5,0,1,1
Darchula,8,62046.40813,0.373987262,7,5,14,16887.03502,15,3,8,5,1,0
Solukhumbu,1,58482.21341,0.858926647,9,2,7,12098.24158,7,3,9,4,0,0
Sindhuli,10,61779.17514,0.446141034,9,6,42,110.4280918,13,3,11,5,1,1
Dailekh,7,20335.7921,0.151194989,1,2,17,27353.37303,3,2,8,1,1,2
Myagdi,7,42854.25939,0.247182285,6,1,9,6465.999342,13,3,12,4,0,1
Sarlahi,1,27359.61458,0.404419157,8,1,7,7651.419945,1,3,5,0,0,1
Kanchanpur,9,40245.94909,0.22865572,10,8,37,22868.86755,16,3,12,4,0,1
Sarlahi,8,22110.18012,0.245257244,9,5,34,3107.038202,5,2,12,1,0,2
Sindhuli,4,54618.50188,0.246943782,4,4,19,151.8437962,7,3,6,2,1,0
Achham,10,22409.0952,0.078639503,2,1,11,35926.81375,15,3,4,2,1,1
Rukum East,11,3844.175605,0.053064418,9,6,48,10562.46234,0,3,2,5,1,2
Gorkha,5,67540.49305,0.02856702,9,1,2,6450.835326,2,2,11,5,1,1
Syangja,2,42079.94687,0.070565307,8,5,19,25642.65151,9,3,11,3,1,0
Tanahun,9,17893.97177,0.25268885,3,2,49,399.7021021,1,3,5,4,1,2
Taplejung,6,32403.66216,0.540651852,5,6,11,3390.167782,10,3,1,3,1,1
Jhapa,3,25770.28648,0.12506154,2,3,23,2531.394181,2,3,1,3,0,2
Bardiya,7,35091.86315,1.313601236,3,6,15,20081.47111,9,2,1,4,1,1
Pyuthan,9,47844.49337,0.991352234,1,3,9,5611.388102,15,2,4,4,1,1
Kavrepalanchok,3,45332.46549,0.441040758,4,6,18,22235.918,2,3,5,1,1,0
Makwanpur,2,39059.66433,0.772868975,5,5,40,635.4171125,6,2,4,4,0,1
Baglung,7,35084.04981,0.273734782,2,1,13,14051.82486,16,3,6,4,1,0
Dhankuta,7,52258.73212,0.022482689,3,3,13,5745.739744,7,3,2,5,1,2
Siraha,4,4192.668507,1.408128164,6,3,21,3103.885405,2,3,5,3,1,1
Jajarkot,11,23017.07691,0.082037435,6,2,3,25454.78633,6,2,6,2,1,2
Sankhuwasabha,9,19341.39467,1.773184445,7,4,46,7971.807028,9,3,5,0,1,2
Taplejung,8,51100.12437,0.509014677,9,2,33,12716.50546,14,3,6,2,1,0
Kapilvastu,1,23174.51815,0.218792353,4,4,17,504.652385,14,3,8,4,1,1
Morang,1,14424.71372,0.410541749,5,4,33,23526.20432,4,2,2,0,1,1
Baitadi,5,43789.24074,0.417847274,2,0,17,5071.637091,2,2,7,4,1,0
Kaski,6,20460.03871,0.014137505,6,4,39,17733.46997,2,3,6,5,1,1
Chitwan,3,29388.37628,0.263530899,4,2,30,21436.43625,3,3,10,1,1,0
Panchthar,9,73098.30241,0.807934575,5,3,41,1868.426234,14,2,8,4,1,1
Sarlahi,10,47594.21686,0.42809466,7,3,19,5262.535327,15,3,9,0,0,1
Kapilvastu,6,31623.35028,0.168011002,6,2,35,19279.9167,4,3,8,5,0,1
Solukhumbu,4,33061.94998,0.244880073,8,0,41,3962.951312,7,1,5,1,1,1
